Date ;0.08-Yrs ;0.25-Yrs ;0.50-Yrs ;1.00-Yrs ;2.00-Yrs ;3.00-Yrs ;4.00-Yrs ;5.00-Yrs ;6.00-Yrs ;7.00-Yrs ;8.00-Yrs ;9.00-Yrs ;10.00-Yrs ;11.00-Yrs ;12.00-Yrs ;13.00-Yrs ;14.00-Yrs ;15.00-Yrs ;16.00-Yrs ;17.00-Yrs ;18.00-Yrs ;19.00-Yrs ;20.00-Yrs ;21.00-Yrs ;22.00-Yrs ;23.00-Yrs ;24.00-Yrs ;25.00-Yrs ;26.00-Yrs ;27.00-Yrs ;28.00-Yrs ;29.00-Yrs ;30.00-Yrs ;31.00-Yrs ;32.00-Yrs ;33.00-Yrs ;34.00-Yrs ;35.00-Yrs ;36.00-Yrs ;37.00-Yrs ;38.00-Yrs ;39.00-Yrs ;40.00-Yrs ;41.00-Yrs ;42.00-Yrs ;43.00-Yrs ;44.00-Yrs ;45.00-Yrs ;46.00-Yrs ;47.00-Yrs ;48.00-Yrs ;49.00-Yrs ;50.00-Yrs
2025-08-19;1.310940;1.306543;1.301752;1.276834;1.138005;1.138534;1.146414;1.160731;1.193863;1.262088;1.285936;1.327375;1.350652;1.386156;1.441115;1.520998;1.527708;1.546118;1.625211;1.704989;1.778691;1.802438;1.836472;1.912774;1.924616;1.936458;1.947313;1.952839;1.958364;1.963622;1.967401;1.971180;1.977548;1.998199;2.018850;2.039501;2.060152;2.080803;2.098419;2.098555;2.098692;2.098828;2.098965;2.099700;2.103338;2.103315;2.103292;2.103269;2.103246;;;;
2025-08-18;1.316511;1.312473;1.307675;1.289854;1.139302;1.139669;1.145433;1.162142;1.197243;1.260286;1.281788;1.321506;1.346326;1.384172;1.440669;1.519711;1.523791;1.540447;1.623669;1.706061;1.775637;1.800622;1.837246;1.922668;1.931937;1.941207;1.949838;1.954946;1.960055;1.964796;1.967469;1.970143;1.975627;1.996955;2.018283;2.039610;2.060938;2.082266;2.100456;2.100171;2.099885;2.099600;2.099314;2.099450;2.101756;2.101852;2.101948;2.102044;2.102139;;;;
2025-08-15;1.332343;1.329897;1.323239;1.307945;1.151240;1.150208;1.161293;1.180818;1.215968;1.285952;1.307967;1.335568;1.360335;1.402159;1.467461;1.551595;1.551934;1.564244;1.644021;1.726843;1.815178;1.837879;1.869163;1.939382;1.949183;1.958984;1.967800;1.970817;1.973833;1.976624;1.978056;1.979488;1.983723;2.004831;2.025938;2.047045;2.068153;2.089260;2.107425;2.107056;2.106686;2.106316;2.105947;2.105902;2.107818;2.108854;2.109890;2.110926;2.111962;;;;
2025-08-14;1.351494;1.350261;1.341019;1.330580;1.161795;1.171213;1.180027;1.196525;1.233613;1.292076;1.318332;1.353419;1.373842;1.418545;1.482333;1.559673;1.564874;1.583905;1.682585;1.774530;1.823604;1.849217;1.881434;1.943972;1.956142;1.968313;1.979114;1.981676;1.984239;1.986299;1.985262;1.984225;1.986942;2.012769;2.038596;2.064424;2.090251;2.116078;2.138072;2.135350;2.132628;2.129905;2.127183;2.125260;2.127903;2.125826;2.123748;2.121671;2.119593;;;;
2025-08-13;1.376176;1.375985;1.367463;1.355653;1.197283;1.202120;1.208737;1.223369;1.267178;1.335972;1.365822;1.408022;1.420000;1.472862;1.555399;1.631896;1.636265;1.653522;1.746647;1.835325;1.891763;1.912516;1.939706;1.997262;2.004363;2.011464;2.018355;2.023958;2.029561;2.034159;2.032418;2.030678;2.032533;2.057039;2.081545;2.106051;2.130557;2.155063;2.176045;2.173754;2.171463;2.169172;2.166881;2.165543;2.169484;2.165488;2.161493;2.157498;2.153503;;;;
2025-08-05;1.405711;1.407261;1.401818;1.387791;1.258382;1.253134;1.257474;1.287230;1.338611;1.414685;1.437602;1.464651;1.481129;1.544766;1.633238;1.709874;1.711816;1.724207;1.810905;1.900095;1.995557;2.009592;2.024619;2.045508;2.056319;2.067129;2.077103;2.080803;2.084503;2.088907;2.098722;2.108537;2.119588;2.140144;2.160700;2.181256;2.201812;2.222369;2.240473;2.238660;2.236846;2.235032;2.233219;2.232193;2.236727;2.232679;2.228631;2.224583;2.220535;;;;
2025-08-04;1.404417;1.405810;1.400934;1.388611;1.274444;1.268019;1.273154;1.296162;1.347559;1.423092;1.443083;1.469809;1.489579;1.551308;1.644094;1.717111;1.720717;1.734035;1.818202;1.905148;2.001128;2.015090;2.029636;2.048271;2.064774;2.081277;2.096279;2.099743;2.103206;2.107027;2.113668;2.120309;2.128462;2.148565;2.168668;2.188770;2.208873;2.228976;2.246636;2.243871;2.241107;2.238342;2.235577;2.234145;2.242614;2.237683;2.232752;2.227821;2.222890;;;;
2025-08-01;1.405510;1.407551;1.404303;1.393266;1.291899;1.292339;1.300635;1.318536;1.363704;1.438345;1.471244;1.488662;1.505270;1.568280;1.665592;1.730086;1.740488;1.758975;1.841342;1.926086;2.019369;2.031752;2.044665;2.061678;2.076992;2.092306;2.106475;2.111073;2.115671;2.120627;2.128660;2.136693;2.145932;2.165552;2.185172;2.204792;2.224413;2.244033;2.261595;2.260348;2.259102;2.257855;2.256608;2.255636;2.256669;2.252160;2.247652;2.243143;2.238634;;;;
2025-07-31;1.404156;1.403748;1.402255;1.392038;1.293090;1.292146;1.300267;1.317383;1.362880;1.437570;1.466411;1.488750;1.503346;1.561311;1.650081;1.720931;1.730357;1.748140;1.833827;1.920719;2.008379;2.022738;2.037984;2.059729;2.073795;2.087860;2.100847;2.104556;2.108265;2.112550;2.121951;2.131352;2.141842;2.161985;2.182128;2.202271;2.222414;2.242557;2.260604;2.258891;2.257179;2.255466;2.253754;2.252647;2.256470;2.250865;2.245260;2.239654;2.234049;;;;
2025-07-30;1.404750;1.406708;1.406569;1.394181;1.297889;1.299531;1.304314;1.322923;1.366560;1.440962;1.468329;1.495788;1.517484;1.569977;1.653293;1.720418;1.733598;1.753773;1.832415;1.913531;2.006282;2.023481;2.040922;2.059891;2.074025;2.088158;2.101300;2.105644;2.109988;2.115048;2.126652;2.138256;2.150627;2.170005;2.189382;2.208760;2.228137;2.247515;2.265147;2.265793;2.266439;2.267084;2.267730;2.268016;2.264445;2.258507;2.252568;2.246629;2.240691;;;;
