Date;Closing Price;Change;Trading Volume (shr);Trading Value (KHR);Opening;High;Low;Market Cap. (Mil.KHR);Full Market Cap. (Mil.KHR)
2021-12-17;2,000;10;200;399,740;1,990;2,000;1,990;143,750;143,750
2021-12-16;1,990;0;3,736;7,435,820;2,000;2,000;1,980;143,031;143,031
2021-12-15;1,990;10;2,320;4,624,620;2,010;2,010;1,990;143,031;143,031
2021-12-14;2,000;10;997;1,997,620;2,010;2,010;2,000;143,750;143,750
2021-12-13;2,010;10;2,117;4,238,060;2,010;2,010;1,990;144,469;144,469
2021-12-10;2,000;0;12,726;25,373,880;2,000;2,000;1,990;143,750;143,750
2021-12-09;2,000;10;1,528;3,035,500;1,990;2,010;1,980;143,750;143,750
2021-12-08;1,990;0;3,509;6,983,430;1,990;2,000;1,980;143,031;143,031
2021-12-07;1,990;30;13,104;26,184,360;2,000;2,010;1,990;143,031;143,031
2021-12-06;2,020;10;3,569;7,152,200;2,030;2,030;2,000;145,188;145,188
2021-12-03;2,010;0;7,269;14,550,160;2,010;2,010;2,000;144,469;144,469
2021-12-02;2,010;10;9,118;18,261,140;2,020;2,030;2,000;144,469;144,469
2021-12-01;2,020;10;4,384;8,767,590;2,010;2,020;1,990;145,188;145,188
2021-11-30;2,010;0;5,574;11,151,930;2,020;2,020;2,000;144,469;144,469
2021-11-29;2,010;0;1,679;3,373,890;2,030;2,030;2,000;144,469;144,469
2021-11-26;2,010;0;6,470;12,964,700;2,010;2,010;2,000;144,469;144,469
2021-11-25;2,010;0;2,503;5,031,460;2,020;2,020;2,000;144,469;144,469
2021-11-24;2,010;0;13,105;26,233,660;2,010;2,020;1,990;144,469;144,469
2021-11-23;2,010;0;2,177;4,375,750;2,000;2,020;2,000;144,469;144,469
2021-11-22;2,010;0;17,644;35,281,280;2,010;2,020;1,990;144,469;144,469
2021-11-17;2,010;0;1,188;2,386,380;2,010;2,010;2,000;144,469;144,469
2021-11-16;2,010;0;4,131;8,268,020;2,010;2,010;2,000;144,469;144,469
2021-11-15;2,010;10;4,018;8,040,600;2,000;2,010;2,000;144,469;144,469
2021-11-12;2,000;0;9,449;18,900,210;2,010;2,010;1,990;143,750;143,750
2021-11-11;2,000;0;8,524;17,036,340;2,000;2,010;1,990;143,750;143,750
2021-11-10;2,000;10;11,497;23,022,020;2,030;2,030;2,000;143,750;143,750
2021-11-08;2,010;0;2,469;4,992,660;2,040;2,040;2,010;144,469;144,469
2021-11-05;2,010;20;7,582;15,280,890;2,030;2,040;2,010;144,469;144,469
2021-11-04;2,030;10;1,939;3,911,720;2,010;2,030;2,010;145,906;145,906
2021-11-03;2,020;20;7,355;14,809,660;2,030;2,030;2,010;145,188;145,188
2021-11-02;2,040;0;12,661;25,605,290;2,040;2,040;2,010;146,625;146,625
2021-11-01;2,040;0;5,785;11,710,720;2,040;2,040;2,020;146,625;146,625
2021-10-28;2,040;10;6,793;13,731,790;2,040;2,040;2,020;146,625;146,625
2021-10-27;2,030;0;3,419;6,935,290;2,040;2,040;2,020;145,906;145,906
2021-10-26;2,030;0;5,387;10,905,880;2,030;2,040;2,020;145,906;145,906
2021-10-25;2,030;10;4,053;8,223,590;2,030;2,030;2,020;145,906;145,906
2021-10-22;2,040;10;916;1,858,650;2,040;2,040;2,020;146,625;146,625
