Date;Closing Price;Change;Trading Volume (shr);Trading Value (KHR);Opening;High;Low;Market Cap. (Mil.KHR);Full Market Cap. (Mil.KHR)
2022-11-17;3,140;0;48;148,090;3,080;3,140;3,080;235,327;235,327
2022-11-16;3,140;20;929;2,907,720;3,130;3,140;3,120;235,327;235,327
2022-11-15;3,120;10;10;31,310;3,140;3,140;3,120;233,828;233,828
2022-11-14;3,130;20;192;592,090;3,140;3,140;3,070;234,578;234,578
2022-11-11;3,110;20;52;161,770;3,110;3,140;3,110;233,079;233,079
2022-11-10;3,130;10;162;505,320;3,110;3,140;3,110;234,578;234,578
2022-11-04;3,140;10;15;46,840;3,130;3,140;3,100;235,327;235,327
2022-11-03;3,130;20;671;2,089,000;3,110;3,130;3,100;234,578;234,578
2022-11-02;3,110;10;143;445,400;3,150;3,150;3,110;233,079;233,079
2022-11-01;3,100;40;1,040;3,224,090;3,130;3,130;3,100;232,330;232,330
2022-10-31;3,140;10;273;849,820;3,110;3,150;3,110;235,327;235,327
2022-10-28;3,150;20;1;3,150;3,150;3,150;3,150;236,077;236,077
2022-10-27;3,170;0;318;990,860;3,180;3,180;3,100;237,576;237,576
2022-10-26;3,170;10;537;1,702,890;3,180;3,180;3,170;237,576;237,576
2022-10-25;3,180;0;5;15,890;3,180;3,180;3,170;238,325;238,325
2022-10-24;3,180;10;2,707;8,408,830;3,180;3,180;3,000;238,325;238,325
2022-10-21;3,190;50;2,479;7,761,400;3,100;3,190;3,100;239,075;239,075
2022-10-20;3,140;0;19;59,360;3,140;3,140;3,110;235,327;235,327
2022-10-19;3,140;40;13;40,520;3,140;3,140;3,110;235,327;235,327
2022-10-18;3,100;0;68;211,170;3,140;3,150;3,100;232,330;232,330
2022-10-17;3,100;70;142;440,490;3,130;3,170;3,100;232,330;232,330
2022-10-14;3,170;30;115;361,570;3,140;3,190;3,140;237,576;237,576
2022-10-13;3,140;0;321;1,007,940;3,140;3,140;3,140;235,327;235,327
