Date;Closing Price;Change;Trading Volume (shr);Trading Value (KHR);Opening;High;Low;Market Cap. (Mil.KHR);Full Market Cap. (Mil.KHR)
2023-11-17;2,110;0;2,213;4,668,440;2,110;2,120;2,100;13,634;38,954
2023-11-16;2,110;10;2,724;5,737,920;2,110;2,110;2,100;13,634;38,954
2023-11-15;2,100;0;2,956;6,210,120;2,100;2,110;2,100;13,569;38,769
2023-11-14;2,100;10;4,969;10,477,150;2,110;2,120;2,100;13,569;38,769
2023-11-13;2,110;0;661;1,398,110;2,160;2,160;2,110;13,634;38,954
2023-11-10;2,110;10;289;615,910;2,150;2,150;2,110;13,634;38,954
2023-11-08;2,120;20;10,836;22,806,670;2,110;2,120;2,090;13,698;39,138
2023-11-07;2,100;20;2,557;5,375,260;2,120;2,120;2,100;13,569;38,769
2023-11-06;2,120;0;1,121;2,376,460;2,120;2,120;2,110;13,698;39,138
2023-11-03;2,120;0;3,050;6,446,240;2,120;2,120;2,100;13,698;39,138
2023-11-02;2,120;20;437;927,530;2,130;2,140;2,110;13,698;39,138
2023-11-01;2,140;40;16,658;35,302,880;2,110;2,140;2,100;13,828;39,508
2023-10-31;2,100;10;205;431,680;2,120;2,120;2,100;13,569;38,769
2023-10-30;2,110;0;1,059;2,242,570;2,120;2,120;2,080;13,634;38,954
2023-10-27;2,110;20;111;232,450;2,120;2,120;2,090;13,634;38,954
2023-10-26;2,090;20;9,865;20,566,490;2,150;2,150;2,070;13,505;38,585
2023-10-25;2,110;30;4,508;9,499,170;2,120;2,140;2,100;13,634;38,954
2023-10-24;2,140;10;368;781,820;2,150;2,150;2,120;13,828;39,508
2023-10-23;2,150;10;924;1,971,390;2,150;2,150;2,120;13,892;39,692
2023-10-20;2,160;20;86;186,050;2,170;2,180;2,150;13,957;39,877
2023-10-19;2,140;10;53;113,690;2,170;2,170;2,140;13,828;39,508
2023-10-18;2,130;0;1,261;2,686,050;2,130;2,140;2,130;13,763;39,323
2023-10-17;2,130;0;1,438;3,063,190;2,160;2,160;2,130;13,763;39,323
2023-10-16;2,130;70;741;1,581,130;2,170;2,170;2,130;13,763;39,323
2023-10-12;2,200;70;1,175;2,514,710;2,130;2,200;2,130;14,215;40,615
2023-10-11;2,130;10;5,220;11,068,720;2,120;2,140;2,120;13,763;39,323
2023-10-10;2,120;30;4,138;8,791,740;2,150;2,150;2,120;13,698;39,138
2023-10-09;2,150;10;1,414;3,010,830;2,160;2,160;2,120;13,892;39,692
2023-10-06;2,160;10;806;1,728,200;2,150;2,160;2,130;13,957;39,877
2023-10-05;2,150;0;526;1,125,800;2,150;2,150;2,140;13,892;39,692
2023-10-04;2,150;0;596;1,270,780;2,160;2,160;2,130;13,892;39,692
2023-10-03;2,150;0;3,278;7,044,910;2,150;2,150;2,140;13,892;39,692
2023-10-02;2,150;0;91;195,640;2,150;2,150;2,140;13,892;39,692
2023-09-29;2,150;10;468;1,006,230;2,150;2,160;2,150;13,892;39,692
2023-09-28;2,160;0;100;216,000;2,160;2,160;2,160;13,957;39,877
2023-09-27;2,160;0;252;542,130;2,160;2,160;2,150;13,957;39,877
2023-09-26;2,160;20;3,039;6,455,320;2,130;2,160;2,120;13,957;39,877
2023-09-25;2,140;10;3,653;7,839,380;2,150;2,150;2,140;13,828;39,508
2023-09-22;2,150;10;892;1,921,720;2,160;2,160;2,150;13,892;39,692
2023-09-21;2,160;10;4,753;10,187,570;2,160;2,160;2,130;13,957;39,877
2023-09-20;2,150;0;1,158;2,493,100;2,150;2,160;2,140;13,892;39,692
2023-09-19;2,150;0;1,382;2,971,690;2,160;2,160;2,150;13,892;39,692
2023-09-18;2,150;20;1,766;3,806,970;2,170;2,170;2,150;13,892;39,692
2023-09-15;2,170;10;1,315;2,840,480;2,160;2,180;2,160;14,022;40,062
2023-09-14;2,160;0;2,440;5,227,140;2,150;2,170;2,140;13,957;39,877
2023-09-13;2,160;0;1,328;2,850,180;2,150;2,180;2,140;13,957;39,877
2023-09-12;2,160;10;164;354,260;2,170;2,170;2,160;13,957;39,877
2023-09-11;2,170;0;353;760,490;2,160;2,170;2,150;14,022;40,062
2023-09-08;2,170;0;811;1,741,870;2,150;2,180;2,120;14,022;40,062
2023-09-07;2,170;20;3,746;7,972,410;2,160;2,170;2,110;14,022;40,062
2023-09-06;2,150;20;1,337;2,889,030;2,180;2,180;2,150;13,892;39,692
2023-09-05;2,170;20;356;773,150;2,180;2,180;2,160;14,022;40,062
2023-09-04;2,190;0;232;505,510;2,190;2,190;2,160;14,151;40,431
2023-09-01;2,190;20;145;315,740;2,160;2,190;2,160;14,151;40,431
2023-08-31;2,170;10;1,112;2,427,080;2,180;2,190;2,170;14,022;40,062
2023-08-30;2,180;10;6,143;13,151,010;2,140;2,180;2,140;14,086;40,246
2023-08-29;2,170;20;1,995;4,341,760;2,180;2,180;2,170;14,022;40,062
2023-08-28;2,190;0;4,471;9,704,820;2,200;2,200;2,170;14,151;40,431
2023-08-25;2,190;20;3,007;6,503,790;2,200;2,200;2,160;14,151;40,431
2023-08-24;2,170;20;790;1,716,500;2,200;2,200;2,170;14,022;40,062
2023-08-23;2,190;10;5,150;11,217,720;2,190;2,200;2,170;14,151;40,431
2023-08-22;2,200;0;257;562,920;2,190;2,200;2,190;14,215;40,615
2023-08-21;2,200;0;2,287;5,021,730;2,200;2,200;2,190;14,215;40,615
2023-08-18;2,200;10;1,084;2,385,700;2,210;2,210;2,200;14,215;40,615
2023-08-17;2,210;0;764;1,682,030;2,210;2,210;2,200;14,280;40,800
2023-08-16;2,210;0;530;1,171,520;2,210;2,220;2,210;14,280;40,800
2023-08-15;2,210;0;1,967;4,357,510;2,220;2,220;2,210;14,280;40,800
2023-08-14;2,210;20;16,422;36,109,970;2,190;2,210;2,180;14,280;40,800
2023-08-11;2,190;20;5,424;11,883,760;2,190;2,200;2,180;14,151;40,431
2023-08-10;2,170;30;540;1,176,190;2,180;2,180;2,140;14,022;40,062
2023-08-09;2,140;20;4,779;10,244,330;2,160;2,160;2,140;13,828;39,508
2023-08-08;2,160;10;1,847;3,979,940;2,150;2,170;2,150;13,957;39,877
2023-08-07;2,150;0;5,210;11,203,480;2,150;2,160;2,150;13,892;39,692
2023-08-04;2,150;0;4,541;9,771,800;2,180;2,180;2,150;13,892;39,692
2023-08-03;2,150;30;9,708;20,978,000;2,180;2,190;2,150;13,892;39,692
2023-08-02;2,180;10;787;1,717,710;2,190;2,200;2,180;14,086;40,246
2023-08-01;2,190;0;368;803,710;2,180;2,200;2,180;14,151;40,431
2023-07-31;2,190;0;387;840,900;2,190;2,190;2,170;14,151;40,431
2023-07-28;2,190;0;1,586;3,443,040;2,180;2,190;2,170;14,151;40,431
2023-07-27;2,190;20;1,171;2,560,810;2,190;2,190;2,170;14,151;40,431
2023-07-26;2,170;0;2,845;6,181,700;2,180;2,180;2,170;14,022;40,062
2023-07-25;2,170;20;982;2,140,750;2,190;2,200;2,170;14,022;40,062
2023-07-21;2,190;0;2,351;5,140,250;2,190;2,190;2,170;14,151;40,431
2023-07-20;2,190;10;2,191;4,752,670;2,200;2,200;2,150;14,151;40,431
2023-07-19;2,180;0;12,352;26,706,920;2,170;2,200;2,150;14,086;40,246
2023-07-18;2,180;0;3,134;6,830,490;2,200;2,200;2,170;14,086;40,246
