Name;Abb;License;Year;Total Office;Phnom Penh Office;Provincial Office;ATM terminals;POS;Debit Cards;Credit Cards;Staff;Total Assets;Total Equity;GLP;NLP;Debt= Borrowings+Sub-debt;Total Customer Deposits (exc. Deposits from banks and Fis);CASA deposits;Total Paid-up Capital;Foreign Share;Cash;Gold;Deposits with NBC;Due from Banks;Deposits with, Loans and advances to, Banks;Loans and advances  to state enterprises;Loans and advances to private sector;Accrued interest receivable from Loans;Securities;Claims on goverment;Prepaid Expenses;Fixed assets;Other assets;Total Assets;Owed to NBC;Owed to Banks;Borrowed Funds (including subdebt);Demand deposits;Saving deposits ;Fixed deposits ;Accrued interest payable;Other deposits;Other liabilities;Total Liabilities;Paid up Capital;Reserves  ;Regulatory Resereve & other;Retained and Current Profit/Loss;Total Equity;Interest Income;Interest Expenses;Net Interest Income;Non Interest Income;Gross Operating Income;Operating Expenses (Excluded Depreciations);Depreciation;Bad & Doubtful Debts;Recoveries;Profit & Loss Before Tax;Profit Tax;Extra Gains or Losses;Net profit for 12 Months;Total Credit (Exc. Loans to Other banks and Fis);Agriculture, Forestry and Fishing;Mining and Quarrying;Manufacturing;Utilities;Construction;Wholesale Trade;Retail Trade;Accommodation and Food Service Activities;Transport and Storage;Information and Communications;Rental and Operational Leasing Activities;Real Estate Activities (include mortgage from 2024);Other Non-Financial Services ( including Education + Arts, Entertainment and creation);Personal Essentials (Exclude mortgage from 2024);Other Lending;Total Customer Deposits;Government;State Enterprise ;Business Enterprises;Individuals;Non-profit Organizations;Non- Resident;Others;Asset growth;Equity growth;GLP growth;Deposit growth;Debt (borrowings & sub-debt) growth;Int.income growth;Net int. income growth;Non-int. income growth;Ope growth;PBT growth;Net income growth;ROA;ROE;ROAA;ROAE;NIM;Portfolio Yield;CIR;NPL ratio;Net loan/GLP;Provision exp ratio;Loans per staff;Loans per branch;Loan to Agriculture;Loan to Construction;Loan to Real-estate;Loan to Hotel & Restaurants;Loan to Retail Trade;Loan to Wholesale Trade;Loans to personal essentials;Loans to manufacturing;Loans to others;Ope ratio;Ope per staff;CASA Ratio;Loan-deposit Ratio;Deposits with NBC/TA;D/E;A/E;Total Equity/Risky Assets;CASA/TL;FD/TL;Borrowings/TL;Owed to Banks & NBC/TL;Subdebt/TL;Other liab/TL;Avg. Funding Cost;Yield on Earnings Assets;Operating exp. Ratio;Funding exp. Ratio;Provision exp. Ratio;Yield margin
Heng He (Cambodia) Commercial Bank Plc.;HHB;Commercial;2021;1;1;0;0;0;0;0;67;1,052,948;292,311;96,829;0;0;760,063;238,231;305,550;0;44,254;0;486,455;0;419,091;0;96,573;256;0;0;443;6,453;-577;1,052,948;0;0;0;97,741;140,490;502,298;8,021;11,512;575;760,637;305,550;0;0;-13,239;292,311;12,568;9,585;2,983;1,046;4,029;12,021;1,790;966;0;-10,748;0;1;-10,747;96,829;0;0;0;0;6,937;0;33,747;0;2,777;0;0;35,931;16,107;1,330;0;760,063;0;0;0;748,540;0;10;11,512;;;;;;;;;;;;-0.01021;-0.03677;-0.01021;-0.03677;0.00298;0.01359;3.4279;0;0.99736;0.00998;1,445;96,829;0;0.07164;0.37108;0;0.34852;0;0.01374;0;0.19502;0.14263;206.13;0.31344;0.1274;0.46199;2.60215;3.60215;0.55973;0.3132;0.66036;0;;;0.02644;0.01294;0.01359;0.01378;0.00956;0.00096;-0.01073
Heng He (Cambodia) Commercial Bank Plc.;HHB;Commercial;2022;1;1;0;0;0;0;0;103;1,178,552;295,851;454,584;15,874;953;871,490;191,377;329,360;0;59,411;0;186,292;40,206;426,151;0;437,893;3,235;12,351;0;2,232;9,564;1,216;1,178,551;0;953;0;67,950;123,427;656,751;23,362;0;10,258;882,701;329,360;0;0;-33,509;295,851;48,373;31,883;16,490;5,149;21,640;20,274;1,389;21,317;0;-21,340;549;-669;-22,558;454,584;5,650;0;24,673;3,019;36,196;25,433;113,253;31,791;31,676;0;4,688;123,894;46,383;7,929;0;871,490;0;0;1,749;866,268;0;3,473;0;0.11929;0.01211;3.69471;0.1466;;2.8489;4.52799;3.92256;0.56853;;;-0.01914;-0.07625;-0.02022;-0.07671;0.01567;0.05085;1.00106;0.03492;0.96328;0.07732;4,413;454,584;0.01243;0.07962;0.27254;0.06993;0.24914;0.05595;0.01744;0.05428;0.18867;0.07857;210.32;0.2196;0.52162;0.15807;2.9836;3.9836;0.31715;0.21681;0.74402;0;0.00108;;0.03809;0.04011;0.05085;0.02058;0.03029;0.02025;-0.02028
Heng He (Cambodia) Commercial Bank Plc.;HHB;Commercial;2023;1;1;0;0;0;0;0;111;1,359,968;229,811;504,934;148,154;1,378;1,119,571;191,999;347,225;0;205,314;0;574,072;189;130,771;0;402,160;10,095;12,255;0;15,435;8,423;1,253;1,359,967;0;1,378;0;148,205;43,794;896,396;31,176;0;9,207;1,130,156;347,225;0;0;-117,414;229,811;62,377;49,084;13,293;3,557;16,850;23,587;1,554;75,135;0;-83,427;653;554;-83,525;504,934;5,555;1,095;2,165;0;16,852;15,569;79,591;26,131;60,386;0;41,386;222,977;20,703;12,524;0;1,119,571;0;0;8,281;1,109,244;0;2,046;0;0.15393;-0.22322;0.11076;0.28466;0.44596;0.2895;-0.19388;-0.30919;0.16055;;;-0.06142;-0.36345;-0.06581;-0.31779;0.01196;0.05934;1.49205;0.29341;0.79646;0.15661;4,549;504,934;0.011;0.03337;0.4416;0.05175;0.15763;0.03083;0.0248;0.00429;0.24473;0.0524;226.5;0.17149;0.45101;0.42212;4.91776;5.91777;0.39583;0.16989;0.79316;0;0.00122;;0.03573;0.05063;0.05934;0.02263;0.04417;0.06762;-0.07508
Heng He (Cambodia) Commercial Bank Plc.;HHB;Commercial;2024;2;1;1;0;0;0;0;116;1,339,022;219,786;458,795;165,104;103,747;1,016,117;117,428;342,125;0;54,709;0;739,002;3,106;126,435;0;361,043;18,158;12,562;0;7,991;8,155;7,861;1,339,022;0;2,153;101,594;79,890;37,538;843,029;55,660;0;-630;1,119,234;342,125;0;78,956;-201,295;219,786;56,919;61,717;-4,798;1,541;-3,257;22,548;1,698;49,479;0;-75,932;513;1,051;-76,444;458,795;4,441;854;2,068;0;32,265;13,598;61,887;18,604;51,450;0;32,758;217,896;5,089;1,466;15,347;1,016,117;0;0;9,759;1,006,358;0;0;0;-0.0154;-0.04362;-0.09138;-0.09241;74.2881;-0.0875;-1.36094;-0.56677;-0.0356;;;-0.05709;-0.34781;-0.05665;-0.34006;-0.00406;0.04951;-7.44427;0.35986;0.78694;0.10268;3,955;229,398;0.00968;0.07033;0.47493;0.04055;0.13489;0.02964;0.0032;0.00451;0.23228;0.05032;209.02;0.11557;0.45152;0.5519;5.09238;6.09239;0.40305;0.10492;0.75322;0.09077;0.00192;;0.04917;0.05731;0.04951;0.02053;0.05227;0.0419;-0.06519
Hong Leong Bank (Cambodia) Plc.;HLB;Commercial;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hong Leong Bank (Cambodia) Plc.;HLB;Commercial;2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hong Leong Bank (Cambodia) Plc.;HLB;Commercial;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hong Leong Bank (Cambodia) Plc.;HLB;Commercial;2013;1;1;0;3;0;177;0;40;235,409;144,098;40,767;0;;89,166;57,033;149,813;1;2,548;0;80,624;10,747;84,412;0;40,605;162;0;0;904;15,418;-12;235,409;0;0;0;56,926;107;31,029;80;1,025;2,144;91,310;149,813;0;0;-5,714;144,098;1,303;185;1,118;339;1,457;5,387;1,360;406;0;-5,697;17;0;-5,714;40,767;0;0;6,250;0;0;13,058;3,893;0;0;0;0;0;1,884;15,681;0;89,166;0;0;47,019;40,127;0;995;1,026;;;;;;;;;;;;-0.02427;-0.03965;-0.02427;-0.03965;0.00517;0.00759;4.63075;0;0.99603;0.00996;1,019;40,767;0;0;0;0;0.09549;0.32031;0.38465;0.15331;0.04624;0.1655;168.68;0.63963;0.4572;0.34248;0.63367;1.63367;0.94654;0.62461;0.33982;0;;;0.03557;0.0021;0.00759;0.03118;0.00085;0.00188;-0.02632
Hong Leong Bank (Cambodia) Plc.;HLB;Commercial;2014;2;2;0;3;0;692;0;86;406,401;137,487;198,577;0;174,772;87,913;34,684;152,813;1;3,310;0;46,566;11,373;122,782;0;197,816;761;0;0;1,465;21,592;735;406,401;0;132,862;41,910;33,230;1,454;52,580;463;185;6,229;268,914;152,813;0;0;-15,325;137,487;9,801;3,042;6,759;1,644;8,403;12,579;3,446;1,564;0;-9,185;115;0;-9,301;198,577;0;0;20,671;0;410;40,095;37,792;2,856;769;397;0;0;16,545;79,042;0;87,913;0;0;47,787;38,364;391;977;394;0.72636;-0.04588;3.87102;-0.01405;;6.52187;5.04562;3.84956;1.37513;;;-0.02289;-0.06765;-0.02898;-0.06606;0.02272;0.03848;1.90706;0;0.99617;0.01307;2,309;99,289;0;0.00206;0;0.01438;0.19031;0.20191;0.39804;0.1041;0.08919;0.13391;186.34;0.39453;2.25879;0.11458;1.95592;2.95592;0.38563;0.12898;0.19553;0.15585;0.49407;;0.02558;0.01738;0.03848;0.05387;0.01023;0.00526;-0.03088
Hong Leong Bank (Cambodia) Plc.;HLB;Commercial;2015;5;5;0;10;0;1,813;0;98;648,823;132,740;381,626;0;251,254;255,823;57,950;151,875;1;18,093;0;112,560;3,967;106,173;0;380,396;1,231;0;0;508;24,981;914;648,823;0;210,754;40,500;47,859;10,091;195,591;2,222;60;9,005;516,082;151,875;0;0;-19,135;132,740;24,600;9,081;15,519;3,472;18,991;17,608;4,037;1,838;0;-4,493;282;0;-4,775;381,626;0;0;32,835;0;2,764;73,702;61,557;5,811;7,851;2,028;0;0;43,354;151,726;0;255,823;0;0;136,219;114,912;29;4,048;615;0.59651;-0.03453;0.9218;1.90996;0.43761;1.50995;1.29605;1.11192;0.3507;;;-0.00736;-0.03597;-0.00905;-0.03534;0.03162;0.05719;1.13975;0;0.99678;0.00634;3,894;76,325;0;0.00724;0;0.01523;0.1613;0.19313;0.39758;0.08604;0.13948;0.07461;220.87;0.22652;1.49176;0.17348;3.88792;4.88792;0.25617;0.11229;0.37899;0.07848;0.40837;;0.02187;0.02368;0.05719;0.0441;0.0185;0.00374;-0.00915
Hong Leong Bank (Cambodia) Plc.;HLB;Commercial;2016;5;5;0;11;0;3,797;0;114;970,269;134,094;645,193;0;300,630;523,853;142,595;151,388;1;18,300;0;176,104;31,363;76,868;0;643,111;2,082;0;0;346;21,262;832;970,269;0;260,260;40,370;130,470;12,125;373,971;6,144;1,142;11,692;836,175;151,388;0;0;-17,294;134,094;43,875;19,989;23,886;4,817;28,703;19,658;4,849;2,868;0;1,328;520;0;808;645,193;0;0;43,924;0;7,565;135,799;115,600;6,016;14,762;7,061;3,918;0;52,197;258,351;1;523,853;2,068;0;219,009;249,791;206;51,292;1,488;0.49543;0.0102;0.69064;1.04772;0.19652;0.78354;0.53915;0.38738;0.13222;;;0.00083;0.00603;0.001;0.00606;0.03121;0.06363;0.85381;0;0.99677;0.00559;5,660;129,039;0;0.01173;0;0.00932;0.17917;0.21048;0.40042;0.06808;0.1208;0.04773;214.97;0.2722;1.23163;0.1815;6.23574;7.23574;0.17283;0.17053;0.44724;0.04828;0.31125;;0.0227;0.03024;0.06363;0.03202;0.02612;0.00375;0.00174
