Name;Abb;License;Year;Total Office;Phnom Penh Office;Provincial Office;ATM terminals;POS;Debit Cards;Credit Cards;Staff;Total Assets;Total Equity;GLP;NLP;Debt= Borrowings+Sub-debt;Total Customer Deposits (exc. Deposits from banks and Fis);CASA deposits;Total Paid-up Capital;Foreign Share;Cash;Gold;Deposits with NBC;Due from Banks;Deposits with, Loans and advances to, Banks;Loans and advances  to state enterprises;Loans and advances to private sector;Accrued interest receivable from Loans;Securities;Claims on goverment;Prepaid Expenses;Fixed assets;Other assets;Total Assets;Owed to NBC;Owed to Banks;Borrowed Funds (including subdebt);Demand deposits;Saving deposits ;Fixed deposits ;Accrued interest payable;Other deposits;Other liabilities;Total Liabilities;Paid up Capital;Reserves  ;Regulatory Resereve & other;Retained and Current Profit/Loss;Total Equity;Interest Income;Interest Expenses;Net Interest Income;Non Interest Income;Gross Operating Income;Operating Expenses (Excluded Depreciations);Depreciation;Bad & Doubtful Debts;Recoveries;Profit & Loss Before Tax;Profit Tax;Extra Gains or Losses;Net profit for 12 Months;Total Credit (Exc. Loans to Other banks and Fis);Agriculture, Forestry and Fishing;Mining and Quarrying;Manufacturing;Utilities;Construction;Wholesale Trade;Retail Trade;Accommodation and Food Service Activities;Transport and Storage;Information and Communications;Rental and Operational Leasing Activities;Real Estate Activities (include mortgage from 2024);Other Non-Financial Services ( including Education + Arts, Entertainment and creation);Personal Essentials (Exclude mortgage from 2024);Other Lending;Total Customer Deposits;Government;State Enterprise ;Business Enterprises;Individuals;Non-profit Organizations;Non- Resident;Others;Asset growth;Equity growth;GLP growth;Deposit growth;Debt (borrowings & sub-debt) growth;Int.income growth;Net int. income growth;Non-int. income growth;Ope growth;PBT growth;Net income growth;ROA;ROE;ROAA;ROAE;NIM;Portfolio Yield;CIR;NPL ratio;Net loan/GLP;Provision exp ratio;Loans per staff;Loans per branch;Loan to Agriculture;Loan to Construction;Loan to Real-estate;Loan to Hotel & Restaurants;Loan to Retail Trade;Loan to Wholesale Trade;Loans to personal essentials;Loans to manufacturing;Loans to others;Ope ratio;Ope per staff;CASA Ratio;Loan-deposit Ratio;Deposits with NBC/TA;D/E;A/E;Total Equity/Risky Assets;CASA/TL;FD/TL;Borrowings/TL;Owed to Banks & NBC/TL;Subdebt/TL;Other liab/TL;Avg. Funding Cost;Yield on Earnings Assets;Operating exp. Ratio;Funding exp. Ratio;Provision exp. Ratio;Yield margin
Hong Leong Bank (Cambodia) Plc.;HLB;Commercial;2017;5;5;0;11;0;4,074;0;129;1,345,343;223,147;877,892;809;71,255;961,751;266,874;227,081;1;12,236;0;310,848;82,427;40,423;0;873,552;3,051;0;0;404;19,362;3,040;1,345,343;0;71,255;0;248,062;18,812;681,210;12,930;737;89,191;1,122,197;227,081;0;0;-3,935;223,147;60,575;27,099;33,477;7,114;40,590;20,532;4,716;3,388;0;11,954;1,236;0;10,719;877,892;0;0;53,182;8,680;53,180;208,999;145,666;2,797;16,215;7,577;3,460;0;50,869;327,267;1;961,751;38;0;197,812;676,536;9;85,972;1,384;0.38657;0.66411;0.36067;0.83592;-0.76298;0.38063;0.40153;0.47685;0.03024;8.00151;12.26609;0.00797;0.04804;0.00926;0.06001;0.02996;0.06058;0.62203;0.00092;0.99506;0.00445;6,805;175,578;0;0.06058;0;0.00319;0.16593;0.23807;0.37279;0.06058;0.09887;0.03315;195.72;0.27749;0.91281;0.23105;5.02896;6.02895;0.21829;0.23781;0.60703;0;0.0635;;0.09166;0.02951;0.06058;0.0226;0.02425;0.00303;0.0107
Hong Leong Bank (Cambodia) Plc.;HLB;Commercial;2018;5;5;0;12;0;5,275;0;145;1,721,306;313,296;1,081,261;8,250;260,462;1,124,371;340,697;301,350;1;43,200;0;304,802;30,600;243,852;0;1,075,638;3,814;0;0;368;16,705;2,329;1,721,306;0;243,957;16,505;310,888;29,809;772,259;11,415;0;23,177;1,408,010;301,350;0;0;11,946;313,296;82,740;37,139;45,601;7,385;52,986;22,949;4,987;2,996;;22,054;4,784;;17,270;1,081,261;;;75,355;8,405;46,002;272,431;128,395;6,456;13,972;5,702;2,951;;68,141;446,376;7,075;1,124,371;140;;212,628;708,838;5;202,595;166;0.27946;0.40399;0.23166;0.16909;2.65535;0.36591;0.36216;0.03809;0.10646;0.84491;0.61116;0.01003;0.05512;0.01126;0.06439;0.03079;0.06085;0.52723;0.00763;0.9948;0.00306;7,457;216,252;;0.04254;;0.00597;0.11875;0.25196;0.41283;0.06969;0.09826;0.02852;192.66;0.30301;0.96166;0.17708;4.49418;5.49418;0.22813;0.24197;0.54848;0.01172;0.17326;;0.02457;0.03104;0.06085;0.01886;0.02508;0.00202;0.01489
Hong Leong Bank (Cambodia) Plc.;HLB;Commercial;2019;6;6;0;11;0;6,309;0;172;2,494,656;337,851;1,436,504;3,855;849,637;1,109,566;242,513;305,625;1;42,820;0;514,782;133,267;346,772;0;1,430,883;4,483;0;0;352;16,470;4,826;2,494,655;170,411;832,893;16,744;210,624;31,889;852,087;14,966;0;27,192;2,156,806;305,625;0;0;32,226;337,851;99,417;47,033;52,384;6,808;59,192;26,986;5,607;-826;0;27,425;4,150;0;23,275;1,436,504;0;0;98,243;10,432;65,276;382,330;180,276;10,841;14,577;6,166;2,450;0;84,100;581,681;132;1,109,566;73;0;213,316;692,439;5;203,294;440;0.44928;0.07838;0.32855;-0.01317;2.26204;0.20156;0.14875;-0.07813;0.1667;0.24354;0.34771;0.00933;0.06889;0.01104;0.07149;0.02567;0.05206;0.55063;0.00268;0.99609;-0.00066;8,352;239,417;0;0.04544;0;0.00755;0.1255;0.26615;0.40493;0.06839;0.08204;0.02589;189.49;0.21857;1.29465;0.20635;6.3839;7.38389;0.17441;0.11244;0.39507;0.00776;0.46518;;0.01955;0.02697;0.05206;0.01597;0.02305;-0.0004;0.01344
Hong Leong Bank (Cambodia) Plc.;HLB;Commercial;2020;7;7;0;12;0;7,129;0;190;2,537,872;346,572;1,564,862;7,892;685,897;1,405,306;251,590;303,375;1;45,054;0;331,808;38,032;539,013;0;1,557,847;4,816;0;0;1,173;17,596;2,532;2,537,871;64,761;669,268;16,629;213,371;38,219;1,132,415;21,301;0;35,336;2,191,300;303,375;0;0;43,197;346,572;117,265;61,816;55,449;6,419;61,868;27,421;6,486;3,483;0;24,477;7,051;-7;17,420;1,564,862;15,396;0;94,667;15,392;76,036;380,008;184,580;9,005;6,623;6,794;1,848;0;87,778;684,507;2,227;1,405,306;164;0;391,415;845,907;5;166,495;1,320;0.01732;0.02581;0.08935;0.26654;-0.19272;0.17953;0.05851;-0.05714;0.04032;-0.10749;-0.25156;0.00686;0.05026;0.00692;0.0509;0.02267;0.05056;0.54805;0.00504;0.99552;0.00232;8,236;223,552;0.00984;0.04859;0;0.00575;0.11795;0.24284;0.43742;0.0605;0.07711;0.02259;178.46;0.17903;1.11354;0.13074;6.32278;7.32278;0.16038;0.11481;0.51678;0.00759;0.33497;;0.02585;0.02909;0.05056;0.01386;0.02527;0.00142;0.01001
Hong Leong Bank (Cambodia) Plc.;HLB;Commercial;2021;7;7;0;12;0;6,635;0;224;3,192,923;374,750;2,039,834;30,737;980,207;1,801,806;419,035;305,550;1;54,004;0;971,058;11,053;91,307;0;2,024,462;6,801;8,115;0;523;22,383;3,218;3,192,924;337;901,801;78,069;395,628;23,407;1,353,135;29,636;0;36,160;2,818,173;305,550;0;0;69,200;374,750;134,064;73,067;60,997;14,880;75,877;31,740;6,071;7,002;0;31,064;6,655;-32;24,377;2,039,834;9,615;0;181,913;19,322;188,429;443,573;198,326;7,290;18,504;7,861;2,369;0;59,035;866,219;37,378;1,801,806;16;0;615,063;994,198;5;191,829;696;0.25811;0.0813;0.30352;0.28214;0.42909;0.14326;0.10006;1.31812;0.11514;0.26911;0.39937;0.00763;0.06505;0.00851;0.06759;0.02189;0.05345;0.49832;0.01507;0.99246;0.00388;9,106;291,405;0.00471;0.09237;0;0.00357;0.09723;0.21746;0.42465;0.08918;0.07082;0.02098;168.8;0.23256;1.13211;0.30413;7.52014;8.52014;0.17287;0.14869;0.48015;0.0277;0.32011;;0.02335;0.0299;0.05345;0.01357;0.02622;0.00251;0.01115
Hong Leong Bank (Cambodia) Plc.;HLB;Commercial;2022;7;7;0;10;0;7,446;0;226;3,220,978;397,864;2,296,288;42,875;621,530;1,936,782;407,885;308,775;1;55,877;0;595,704;7,379;251,139;0;2,267,440;9,713;6,560;0;1,184;23,044;2,938;3,220,978;0;719,168;99,978;388,776;19,109;1,472,066;38,044;18,787;67,186;2,823,114;308,775;0;0;89,089;397,864;171,584;97,331;74,254;12,587;86,840;38,260;6,477;14,187;0;27,917;8,719;-39;19,159;2,296,288;6,823;0;132,219;13,679;221,266;657,754;216,314;5,438;41,070;5,910;1,077;0;68,047;921,575;5,113;1,936,782;110;0;419,381;1,192,724;6;170,207;154,354;0.00879;0.06168;0.12572;0.07491;-0.36592;0.27987;0.21734;-0.1541;0.18317;-0.10131;-0.21405;0.00595;0.04815;0.00597;0.0496;0.02382;0.05908;0.51517;0.01867;0.98744;0.00654;10,161;328,041;0.00297;0.09636;0;0.00237;0.0942;0.28644;0.40133;0.05758;0.05875;0.02063;197.95;0.2106;1.18562;0.18495;7.09568;8.09568;0.15485;0.14448;0.52143;0.03541;0.25474;;0.04393;0.03571;0.05908;0.01435;0.03122;0.00455;0.00896
Hong Leong Bank (Cambodia) Plc.;HLB;Commercial;2023;7;7;0;10;0;8,174;0;228;2,820,894;362,618;2,019,554;114,001;608,903;1,812,393;326,783;306,375;1;73,471;0;423,466;9,230;334,303;0;1,937,179;16,378;4,881;0;410;20,608;968;2,820,894;0;509,778;99,125;314,644;12,139;1,443,660;41,945;5;36,979;2,458,275;306,375;0;0;56,243;362,618;184,920;133,687;51,233;9,094;60,327;39,247;5,346;44,882;0;-29,147;3,220;0;-32,367;2,019,554;0;0;110,716;12,083;182,923;598,154;184,355;1,365;38,544;3,747;984;355,350;57,297;467,829;6,207;1,812,393;255;0;48,186;1,136,365;7;118,819;508,760;-0.12421;-0.08859;-0.12051;-0.06422;-0.02032;0.07772;-0.31003;-0.27751;-0.00322;-2.04406;-2.68939;-0.01147;-0.08926;-0.01071;-0.08512;0.01755;0.06647;0.73919;0.05645;0.95921;0.0208;8,858;288,508;0;0.09058;0.17595;0.00068;0.09129;0.29618;0.23165;0.05482;0.05886;0.02066;195.58;0.1803;1.1143;0.15012;6.77924;7.77924;0.15603;0.13293;0.58727;0.04032;0.20737;;0.03211;0.05265;0.06647;0.01528;0.0458;0.01538;-0.00999
Hong Leong Bank (Cambodia) Plc.;HLB;Commercial;2024;7;7;0;10;0;8,927;0;205;2,834,155;430,741;1,784,312;163,241;548,447;1,837,354;609,693;301,875;1;50,504;0;348,063;7,015;653,937;0;1,711,047;23,588;3,106;0;14,525;22,309;62;2,834,156;0;450,754;97,693;601,067;8,626;1,185,162;26,319;16,181;17,613;2,403,415;301,875;0;87,031;41,835;430,741;185,339;117,921;67,418;10,923;78,340;41,387;5,069;19,651;0;12,257;3,343;24;8,914;1,784,312;0;0;109,395;10,560;155,176;492,537;157,411;511;35,595;2,461;881;649,834;0;93,917;76,035;1,837,354;194;0;41,263;1,143,357;257;82,511;569,773;0.0047;0.18786;-0.11648;0.01377;-0.09929;0.00227;0.31591;0.20112;0.04178;;;0.00315;0.02069;0.00315;0.02247;0.02482;0.07226;0.593;0.09149;0.95894;0.01033;8,704;254,902;0;0.08697;0.36419;0.00029;0.08822;0.27604;0.05263;0.06131;0.07035;0.02443;226.61;0.33183;0.97113;0.12281;5.57972;6.57972;0.17685;0.25368;0.49312;0.04065;0.18755;;0.02501;0.04994;0.07226;0.0171;0.04342;0.00723;0.0045
ICBC Limited Phnom Penh Branch;ICBC;Commercial;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ICBC Limited Phnom Penh Branch;ICBC;Commercial;2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ICBC Limited Phnom Penh Branch;ICBC;Commercial;2012;1;1;0;0;0;0;0;30;2,850,803;209,724;1,208,076;0;2,413,991;224,108;188,431;199,750;1;7,769;0;86,518;0;1,546,250;0;1,207,252;824;0;0;661;1,528;2;2,850,803;0;2,413,991;0;155,992;32,439;35,637;41;0;2,980;2,641,079;199,750;0;6,632;3,343;209,724;34,962;11,494;23,468;2,131;25,599;13,521;183;5,987;0;5,908;851;0;5,057;1,208,076;0;60,085;213,198;7,715;179,775;411,115;0;0;0;336,125;0;0;0;64;0;224,108;0;0;155,996;68,112;0;0;0;;;;;;;;;;;;0.00177;0.02411;0.00177;0.02411;0.00826;0.01306;0.53533;0;0.99932;0.00496;40,269;1,208,076;0;0.14881;0;0;0;0.34031;0.00005;0.17648;0.33435;0.01134;456.8;0.8408;5.3906;0.03035;12.59312;13.59312;0.07608;0.07135;0.01349;0;0.91402;;0.00114;0.00436;0.01306;0.00483;0.00405;0.00211;0.00208
ICBC Limited Phnom Penh Branch;ICBC;Commercial;2013;1;1;0;0;0;0;0;38;2,670,878;236,417;1,526,887;0;2,249,438;175,225;107,853;199,750;1;7,744;0;223,008;0;906,872;0;1,524,468;2,420;0;0;667;1,454;4,245;2,670,878;0;2,249,438;0;84,773;23,080;19,352;78;47,943;9,799;2,434,461;199,750;0;15,119;21,548;236,417;54,688;17,387;37,301;7,762;45,063;13,518;182;8,487;0;22,875;4,670;0;18,205;1,526,887;47,009;83,953;167,714;0;83,953;1,144,007;0;0;0;0;0;0;0;252;0;175,225;0;0;132,719;42,506;0;0;0;-0.06311;0.12728;0.2639;-0.21812;-0.06817;0.56421;0.58944;2.64242;-0.00029;2.87187;2.59996;0.00682;0.077;0.00659;0.08161;0.01358;0.02273;0.30402;0;0.99842;0.00621;40,181;1,526,887;0.03079;0.05498;0;0;0;0.74924;0.00017;0.10984;0.05498;0.01002;360.53;0.61551;8.71387;0.0835;10.29732;11.29732;0.09689;0.0443;0.00795;0;0.924;;0.02375;0.00693;0.02273;0.00499;0.00633;0.00309;0.00833
ICBC Limited Phnom Penh Branch;ICBC;Commercial;2014;1;1;0;1;33;3,494;476;44;3,273,370;293,764;1,738,021;0;2,511,366;452,187;366,610;203,750;1;15,127;0;206,501;0;1,310,438;0;1,736,559;1,462;0;0;422;1,028;1,832;3,273,370;0;2,409,491;101,875;332,985;33,625;32,717;228;52,633;16,053;2,979,606;203,750;0;20,422;69,593;293,764;101,531;33,760;67,771;12,273;80,044;15,409;209;4,999;0;59,427;11,678;0;47,749;1,738,021;0;0;34,273;0;267,506;1,278,471;0;0;36,296;0;65,786;20,415;33,851;1,423;0;452,187;0;0;397,879;54,307;0;0;0;0.22558;0.24257;0.13828;1.58061;0.11644;0.85655;0.81687;0.58116;0.14;1.5979;1.62285;0.01459;0.16254;0.01607;0.18012;0.02294;0.03853;0.19512;0;0.99916;0.00306;39,500;1,738,021;0;0.15391;0.01175;0;0;0.73559;0.00082;0.01972;0.07821;0.00957;354.95;0.81075;3.84359;0.06309;10.14286;11.14286;0.09626;0.12304;0.01098;0.03419;0.80866;;0.02313;0.01277;0.03853;0.00529;0.01143;0.00169;0.02012
ICBC Limited Phnom Penh Branch;ICBC;Commercial;2015;1;1;0;1;50;5,650;1,095;51;3,707,228;350,139;1,333,466;0;3,015,998;303,900;187,418;202,500;1;10,892;0;455,816;0;1,904,236;0;1,329,243;3,007;0;0;419;715;2,901;3,707,228;0;2,914,748;101,250;135,184;52,234;48,680;540;67,261;37,192;3,357,089;202,500;0;18,251;129,388;350,139;119,731;25,830;93,901;2,098;95,999;17,221;239;-753;0;79,292;19,070;0;60,222;1,333,466;0;0;100,095;0;150,755;910,013;0;0;0;0;127,090;40,558;0;4,954;0;303,900;0;0;213,621;90,279;0;0;0;0.13254;0.19191;-0.23277;-0.32793;0.20094;0.17926;0.38556;-0.82906;0.11794;0.33428;0.26122;0.01624;0.17199;0.01725;0.18705;0.02705;0.0351;0.18188;0;0.99683;-0.00049;26,146;1,333,466;0;0.11306;0.03042;0;0;0.68244;0.00372;0.07506;0.09531;0.01137;342.35;0.61671;4.38784;0.12295;9.58788;10.58788;0.10805;0.05583;0.0145;0.03016;0.86824;;0.03128;0.00838;0.0351;0.00503;0.00744;-0.00022;0.02284
ICBC Limited Phnom Penh Branch;ICBC;Commercial;2016;1;1;0;2;82;8,032;1,722;57;3,866,102;414,503;602,250;0;2,904,510;472,013;351,772;201,850;1;14,012;0;807,692;0;2,419,177;0;601,222;1,028;0;0;437;688;21,846;3,866,102;0;2,803,585;100,925;302,130;49,642;119,061;1,020;160;75,076;3,451,599;201,850;0;11,392;201,261;414,503;127,285;40,575;86,711;14,387;101,098;21,427;260;-7,964;0;87,374;17,964;0;69,411;602,251;0;0;108,175;0;60,588;91,657;12,126;0;0;211,900;0;86,153;0;31,651;0;472,013;0;0;344,060;127,953;0;0;0;0.04286;0.18382;-0.54836;0.55319;-0.03697;0.06309;-0.07657;5.85748;0.2421;0.10193;0.15259;0.01795;0.16746;0.01833;0.18155;0.02307;0.03769;0.21451;0;0.99829;-0.00823;10,566;602,250;0;0.1006;0.14305;0;0.02013;0.15219;0.05255;0.17962;0.35185;0.02241;380.47;0.74526;1.27592;0.20892;8.32708;9.32708;0.13615;0.10192;0.03449;0.02924;0.81226;;0.02209;0.01224;0.03769;0.00577;0.01079;-0.00212;0.02325
ICBC Limited Phnom Penh Branch;ICBC;Commercial;2017;1;1;0;2;121;9,589;2,127;63;4,092,441;708,925;1,320,495;0;2,574,768;658,711;426,401;403,700;1;11,596;0;760,309;0;1,877,470;0;1,315,100;5,395;0;0;2,227;1,507;118,837;4,092,441;0;2,473,843;100,925;359,597;66,804;230,925;1,145;240;150,037;3,383,515;403,700;0;21,970;283,256;708,925;157,025;58,211;98,814;39,276;138,090;24,759;251;10,568;0;102,512;20,589;0;81,924;1,320,495;0;0;242,424;0;44,485;353,685;0;0;0;165,428;119,187;162,741;173,147;59,398;0;658,711;0;0;506,697;152,014;0;0;0;0.05854;0.7103;1.1926;0.39554;-0.11353;0.23365;0.13958;1.72996;0.15323;0.17326;0.18027;0.02002;0.11556;0.02059;0.14585;0.0254;0.05046;0.18111;0;0.99591;0.01099;20,960;1,320,495;0;0.03369;0.12324;0;0;0.26784;0.04498;0.18359;0.34666;0.02601;396.98;0.64733;2.00467;0.18578;4.77274;5.77274;0.2135;0.12602;0.06825;0.02983;0.73115;;0.04475;0.01762;0.05046;0.00643;0.01496;0.00272;0.02635
ICBC Limited Phnom Penh Branch;ICBC;Commercial;2018;1;1;0;5;179;9,472;2,211;75;4,133,052;825,512;1,060,472;;1,739,285;1,470,273;759,379;401,800;1;11,061;0;597,860;0;2,442,486;0;1,054,876;5,584;0;0;1,820;1,128;18,236;4,133,052;0;1,638,835;100,450;666,491;92,888;706,031;4,417;445;97,983;3,307,540;401,800;0;32,708;391,004;825,512;191,250;62,709;128,541;49,111;177,652;29,358;194;10,896;;137,204;27,985;;109,219;1,060,473;;;103,464;;92,601;301,594;;40,267;;216,520;;82,210;159,336;64,480;;1,470,273;;;1,274,081;177,938;;18,253;;0.00992;0.16446;-0.19691;1.23205;-0.32449;0.21796;0.30084;0.25041;0.18161;0.33842;0.33317;0.02643;0.1323;0.02656;0.14236;0.03194;0.05973;0.16635;;0.99472;0.00915;14,140;1,060,472;;0.08732;0.07752;0.03797;;0.2844;0.0608;0.09756;0.35442;0.02482;394.03;0.51649;0.72128;0.14465;4.00665;5.00665;0.23425;0.22959;0.21346;0.03037;0.49548;;0.03109;0.01948;0.05973;0.00734;0.01558;0.00271;0.0341
ICBC Limited Phnom Penh Branch;ICBC;Commercial;2019;1;1;0;5;332;11,167;2,405;76;5,344,105;973,454;1,383,802;0;2,501,881;1,545,214;1,176,294;407,500;1;15,517;0;854,163;0;3,058,777;0;1,380,686;2,502;0;0;1,692;885;29,883;5,344,105;242,000;2,298,131;203,750;1,056,901;119,393;364,381;4,186;354;81,556;4,370,652;407,500;0;39,723;526,231;973,454;224,604;71,834;152,770;49,652;202,422;32,290;181;7,682;0;162,268;32,724;0;129,543;1,383,802;0;0;131,616;267,377;289,858;285,761;0;75,526;0;185,961;0;64,090;11,282;72,331;0;1,545,214;0;0;1,275,183;251,065;0;18,966;0;0.29302;0.17921;0.30489;0.05097;0.43845;0.1744;0.18849;0.01102;0.09878;0.18268;0.18608;0.02424;0.13308;0.02734;0.14402;0.03254;0.05842;0.16041;0;0.99775;0.00629;18,208;1,383,802;0;0.20946;0.04631;0.05458;0;0.2065;0.05227;0.09511;0.33576;0.02657;427.25;0.76125;0.89554;0.15983;4.48984;5.48984;0.21756;0.26913;0.08337;0.04662;0.58118;;0.0197;0.01918;0.05842;0.00692;0.0153;0.00164;0.03457
ICBC Limited Phnom Penh Branch;ICBC;Commercial;2020;1;1;0;5;318;9,466;2,057;80;5,125,549;1,091,111;1,582,890;0;1,881,799;1,832,147;1,275,952;404,500;1;19,181;0;924,765;0;2,587,871;0;1,579,569;2,806;0;0;902;672;9,783;5,125,549;255,660;1,578,424;303,375;1,126,325;149,627;551,446;4,368;380;64,833;4,034,438;404,500;0;38,209;648,402;1,091,111;225,082;61,541;163,540;28,467;192,007;26,431;176;-5,805;0;171,205;33,594;0;137,611;1,582,889;0;0;106,080;438,318;332,790;283,657;0;42,519;0;202,527;0;104,978;0;72,021;0;1,832,147;0;0;1,471,003;328,063;0;33,080;0;-0.0409;0.12087;0.14387;0.18569;-0.24785;0.00213;0.0705;-0.42667;-0.18059;0.05508;0.06228;0.02685;0.12612;0.02629;0.13331;0.03149;0.04883;0.13857;0;0.9979;-0.00391;19,786;1,582,890;0;0.21024;0.06632;0.02686;0;0.1792;0.0455;0.06702;0.40486;0.01794;332.59;0.69642;0.86395;0.18042;3.69755;4.69755;0.26093;0.31627;0.13668;0.0752;0.45461;;0.01725;0.01492;0.04883;0.00512;0.01185;-0.00112;0.03297
ICBC Limited Phnom Penh Branch;ICBC;Commercial;2021;1;1;0;5;210;11,477;1,708;77;6,213,556;1,210,385;1,701,705;55,429;2,460,458;2,486,435;2,136,474;407,400;1;24,312;0;817,748;0;3,666,102;0;1,679,834;4,158;0;0;599;598;20,205;6,213,556;95,600;1,957,458;407,400;1,950,495;185,979;346,091;3,529;342;56,277;5,003,171;407,400;488,880;84,359;229,746;1,210,385;202,829;43,464;159,364;37,415;196,779;29,418;882;58,805;0;107,674;22,651;0;85,023;1,701,706;0;0;98,851;518,131;364,780;204,073;0;30,589;65,245;260,147;0;82,354;0;77,535;0;2,486,435;0;0;2,122,216;308,001;0;56,218;0;0.21227;0.10931;0.07506;0.35712;0.3075;-0.09887;-0.02554;0.31433;0.1388;-0.37108;-0.38215;0.01368;0.07024;0.015;0.07388;0.02832;0.04269;0.15398;0.03257;0.98715;0.03581;22,100;1,701,705;0;0.21436;0.04839;0.01798;0;0.11992;0.04556;0.05809;0.49569;0.01845;393.51;0.85925;0.6844;0.13161;4.13354;5.13354;0.22533;0.42702;0.06917;0.08143;0.41035;;0.01202;0.00976;0.04269;0.00538;0.00772;0.01045;0.01913
ICBC Limited Phnom Penh Branch;ICBC;Commercial;2022;1;1;0;5;258;13,157;1,616;78;5,964,926;1,374,452;2,110,149;56,024;2,070,851;1,389,614;966,490;411,700;1;27,581;0;649,822;0;3,165,174;0;2,062,878;12,591;0;201;595;730;45,353;5,964,925;107,200;2,482,551;411,700;817,565;148,925;413,991;4,424;4,708;199,409;4,590,473;411,700;494,040;128,256;340,456;1,374,452;232,581;80,153;152,428;57,620;210,048;27,860;685;80,237;0;101,266;20,127;0;81,139;2,110,149;0;0;298,159;595,249;398,701;247,353;0;18,575;111,431;264,418;0;97,643;0;78,620;0;1,389,614;0;0;987,849;332,313;0;69,451;0;-0.04001;0.13555;0.24002;-0.44112;-0.15835;0.14669;-0.04352;0.54002;-0.05792;-0.05951;-0.04568;0.0136;0.05903;0.01332;0.06278;0.02532;0.0482;0.1359;0.02655;0.9776;0.0421;27,053;2,110,149;0;0.18894;0.04627;0.0088;0;0.11722;0.03726;0.1413;0.4602;0.01498;365.96;0.69551;1.51851;0.10894;3.33986;4.33986;0.25994;0.21054;0.09018;0.08969;0.56416;;0.04543;0.01719;0.0482;0.00474;0.01331;0.01333;0.01682
ICBC Limited Phnom Penh Branch;ICBC;Commercial;2023;1;1;0;5;222;15,881;1,416;80;6,221,224;1,474,361;2,151,269;15;2,419,598;2,237,127;1,673,778;408,500;1;28,208;0;582,444;984,417;2,434,803;0;2,127,242;17,379;0;0;496;726;45,509;6,221,224;25,000;2,011,098;408,500;1,550,954;122,824;547,514;8,750;7,084;65,138;4,746,862;408,500;490,200;141,108;434,553;1,474,361;277,175;152,312;124,864;69,737;194,601;30,745;192;42,389;0;121,275;24,532;0;96,743;2,151,269;0;0;434,008;542,127;320,837;320,960;0;6,144;184,303;197,482;0;71,871;0;73,537;0;2,237,127;0;0;1,718,097;451,749;0;67,281;0;0.04297;0.07269;0.01949;0.60989;0.16841;0.19174;-0.18083;0.21029;0.0838;0.19759;0.19231;0.01555;0.06562;0.01588;0.06792;0.0208;0.05779;0.15898;0.00001;0.98883;0.01989;26,891;2,151,269;0;0.14914;0.03341;0.00286;0;0.1492;0.03418;0.20175;0.42947;0.01452;386.71;0.74818;0.96162;0.09362;3.21961;4.21961;0.26278;0.35261;0.11534;0.08606;0.42894;;0.01706;0.03367;0.05779;0.00515;0.02537;0.00706;0.0202
ICBC Limited Phnom Penh Branch;ICBC;Commercial;2024;1;1;0;5;220;17,713;1,181;82;5,788,141;1,434,210;2,191,258;1,157;2,448,529;1,831,494;1,258,327;402,500;1;25,157;0;735,025;672,581;2,265,123;0;2,033,184;9,444;0;0;362;6,922;40,343;5,788,141;0;2,240,913;207,616;1,081,857;176,470;562,952;8,609;1,605;73,909;4,353,931;402,500;483,000;0;548,710;1,434,210;257,340;146,416;110,924;79,045;189,969;30,712;217;11,972;0;147,067;28,239;0;118,829;2,191,258;0;0;487,371;493,336;418,003;316,814;0;0;176,366;213,758;0;45,542;0;40,068;0;1,831,494;0;0;1,274,167;456,352;0;100,974;0;-0.06961;-0.02723;0.01859;-0.18132;0.01196;-0.07156;-0.11164;0.13347;-0.00026;0.21267;0.2283;0.02053;0.08285;0.01979;0.08171;0.01875;0.05685;0.16281;0.00053;0.92786;0.00551;26,723;2,191,258;0;0.19076;0.02078;0;0;0.14458;0.01829;0.22242;0.40317;0.01424;377.18;0.68705;1.19643;0.12699;3.03577;4.03577;0.28525;0.28901;0.1293;0.04768;0.51469;;0.01932;0.03277;0.05685;0.00523;0.02474;0.00202;0.02485
IPU Sea Bank (Cambodia) Plc.;IPU;Commercial;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IPU Sea Bank (Cambodia) Plc.;IPU;Commercial;2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
