Date;AAA;AA;A;BBB;BB;B;CCC
2025-03-07;0.4;0.51;0.75;1.1;1.87;3.0;7.91
2025-03-06;0.4;0.51;0.74;1.09;1.89;3.0;7.9
2025-03-05;0.39;0.5;0.73;1.08;1.8;2.89;7.74
2025-03-04;0.4;0.52;0.75;1.11;1.9;3.02;7.84
2025-03-03;0.4;0.52;0.75;1.1;1.87;2.96;7.69
2025-02-28;0.4;0.51;0.75;1.09;1.82;2.88;7.6
2025-02-27;0.38;0.49;0.72;1.05;1.76;2.81;7.32
2025-02-26;0.37;0.49;0.71;1.04;1.77;2.79;7.32
2025-02-25;0.37;0.48;0.7;1.03;1.78;2.83;7.42
2025-02-24;0.35;0.46;0.68;1.01;1.73;2.78;7.31
2025-02-21;0.35;0.46;0.68;1.01;1.73;2.77;7.34
2025-02-20;0.34;0.45;0.67;0.99;1.62;2.64;7.19
2025-02-19;0.33;0.45;0.66;0.99;1.63;2.68;7.25
2025-02-18;0.33;0.44;0.66;0.98;1.56;2.6;7.21
2025-02-17;0.34;0.45;0.67;1.0;1.59;2.64;7.06
2025-02-14;0.34;0.45;0.67;1.0;1.59;2.64;7.06
2025-02-13;0.35;0.46;0.68;1.01;1.61;2.68;7.1
2025-02-12;0.35;0.46;0.68;1.01;1.6;2.67;7.14
2025-02-11;0.36;0.47;0.7;1.03;1.62;2.68;7.11
2025-02-10;0.37;0.48;0.71;1.04;1.6;2.7;7.1
2025-02-07;0.37;0.48;0.71;1.04;1.63;2.71;7.1
2025-02-06;0.37;0.48;0.7;1.04;1.62;2.7;7.09
2025-02-05;0.36;0.47;0.7;1.03;1.65;2.71;7.1
2025-02-04;0.36;0.47;0.69;1.03;1.66;2.75;7.13
2025-02-03;0.36;0.47;0.7;1.03;1.68;2.78;7.12
2025-01-31;0.35;0.46;0.69;1.02;1.66;2.71;6.99
2025-01-30;0.34;0.47;0.68;1.01;1.66;2.68;7.05
2025-01-29;0.33;0.46;0.68;1.01;1.66;2.67;7.1
2025-01-28;0.33;0.46;0.68;1.01;1.64;2.66;7.1
2025-01-27;0.32;0.45;0.67;1.0;1.64;2.67;7.11
2025-01-24;0.32;0.46;0.67;1.0;1.59;2.61;6.94
2025-01-23;0.33;0.46;0.68;1.01;1.61;2.62;6.9
2025-01-22;0.33;0.47;0.68;1.02;1.58;2.6;6.92
2025-01-21;0.33;0.47;0.69;1.02;1.6;2.62;6.99
2025-01-20;0.33;0.47;0.69;1.02;1.63;2.65;7.07
2025-01-17;0.33;0.47;0.7;1.03;1.63;2.65;7.07
2025-01-16;0.33;0.47;0.7;1.03;1.71;2.75;7.16
2025-01-15;0.33;0.47;0.69;1.03;1.7;2.74;7.14
2025-01-14;0.34;0.48;0.71;1.04;1.76;2.83;7.26
2025-01-13;0.34;0.48;0.71;1.04;1.79;2.89;7.38
2025-01-10;0.34;0.48;0.7;1.03;1.75;2.86;7.32
2025-01-09;0.33;0.48;0.7;1.03;1.77;2.84;7.34
2025-01-08;0.34;0.48;0.7;1.03;1.79;2.86;7.37
2025-01-07;0.34;0.48;0.71;1.04;1.75;2.83;7.29
2025-01-06;0.34;0.48;0.71;1.03;1.71;2.78;7.28
2025-01-03;0.34;0.48;0.7;1.02;1.76;2.82;7.34
