Name;Abb;License;Year;Phnom Penh Office;Provincial Office;Total Office;Staff;Total Assets;Total Equity;GLP;NLP;Debt;Total Deposits;Total Paid-up Capital;Foreign Share;Cash and Balance with NBC and Other Banks;Loans and Advances to Customers;Prepayment and short term Receiable;Long Term Investment;Property and Equipment;Other Assets;Total Assets;Compulsory Saving;Voluntary Saving;Interest Payable;Accountpayable and Others Liabilities;Accrued Expenses and Provision;Loans Payable;Deferred Revenue;Suspense Clearing and interbranch Account;Other Liabilities;Subordinated Debt;Total Liabilities;Paid up Capital;Premium on Share Capital;Reserves and Appropriations;Retained and Current Profit/Loss;Total Equity;Interest income;Interest Expenses;Net Interest Income;Non-interest income;Operation income;Operating Expense;Net Provision;Profit from operation;Grant Income;Profit before Taxes;Tax on profit;Net Profit &Loss for 12 months;Total Credit (Exc. Loans to Other banks and Fis);Agriculture, Forestry and Fishing;Mining and Quarrying;Manufacturing;Utilities;Construction;Wholesale Trade;Retail Trade;Accommodation and Food Service Activities;Transport and Storage;Information and Communications;Rental and Operational Leasing Activities;Real Estate Activities (include mortgage from 2024);Other Non-Financial Services ( including Education + Arts, Entertainment and creation);Personal Essentials (Exclude mortgage from 2024);Other Lending;Asset growth;Equity growth;GLP growth;Deposit growth;Debt (borrowings & sub-debt) growth;Int.income growth;Net int. income growth;Non-int. income growth;Ope growth;PBT growth;Net income growth;ROA;ROE;ROAA;ROAE;NIM;Portfolio Yield;CIR;NPL ratio;Net loan/GLP;Provision exp ratio;Loans per staff;Loans per branch;Loan to Agriculture;Loan to Construction;Loan to Trade and Commerce;Loan to Service;Loan to Transportation;Loan to Household;Loans to manufacturing;Loans to others;Ope ratio;Ope per staff;Loan-deposit Ratio;Cash & Deposits with NBC & Other Banks/TA;D/E;A/E;CAR;Deposits/TL;Borrowings and Sub-debt/TL;Payable/TL;Other liab/TL;Avg. Funding Cost;Yield on Earnings Assets;Operating exp. Ratio;Funding exp. Ratio;Provision exp. Ratio;Yield margin;;;;
Side Hustle Microfinance Plc.;Side Hustle;MFI;2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Side Hustle Microfinance Plc.;Side Hustle;MFI;2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Side Hustle Microfinance Plc.;Side Hustle;MFI;2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Side Hustle Microfinance Plc.;Side Hustle;MFI;2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Side Hustle Microfinance Plc.;Side Hustle;MFI;2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Side Hustle Microfinance Plc.;Side Hustle;MFI;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Side Hustle Microfinance Plc.;Side Hustle;MFI;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Side Hustle Microfinance Plc.;Side Hustle;MFI;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Side Hustle Microfinance Plc.;Side Hustle;MFI;2022;;;1;12;5,062;4,118;3,057;1;4;0;6,204;0.4900;1,342;3,056;0;0;507;157;5,062;0;0;0;935;0;4;0;0;6;0;945;6,204;0;0;-2,086;4,118;23;85;-62;296;234;1,490;3;-1,260;0;-1,260;3;-1,262;3,046;1;;152;;10;;1,857;23;118;;;;;265;619;;;;;;;;;;;;-0.24931;-0.30646;-0.24931;-0.30646;;0.10435;6.36752;0.00033;0.99967;0.00098;254.75;3,057.00;0.00033;0.00327;0.60746;0.00752;0.03860;0.08669;0.04972;0.20641;;124.17;;0.26511;0.22948;1.22924;0.93783;0.00000;0.00423;0.98942;0.00635;21.25000;;;;;;;;620;
Side Hustle Microfinance Plc.;Side Hustle;MFI;2023;;;1;15;4,325;2,459;2,819;1;4;0;5,647;0.4900;688;2,819;0;0;335;484;4,325;0;0;0;928;0;4;0;0;935;0;1,867;5,647;0;0;-3,188;2,459;51;3;47;9;56;1,145;10;-1,099;0;-1,099;3;-1,102;2,810;1;;128;;10;;1,837;22;110;;;;;237;465;-0.14559;-0.40287;-0.07785;;0.00000;1.21739;1.21739;-0.96959;-0.23154;;;-0.25480;-0.44815;-0.23479;-0.33511;0.00530;0.02042;20.44643;0.00035;1.00000;0.00340;187.93;2,819.00;0.00035;0.00355;0.65165;0.00780;0.03902;0.08407;0.04541;0.16814;0.12918;76.33;;0.15908;0.75925;1.75885;0.61768;0.00000;0.00214;0.49705;0.50080;0.75000;0.00677;0.12918;0.00034;0.00113;-0.12388;;;465;
