Date;Closing Price;Change;Trading Volume (shr);Trading Value (KHR);Opening;High;Low;Market Cap. (Mil.KHR);Full Market Cap. (Mil.KHR)
2022-12-28;10,740;20;65,139;698,823,860;10,720;10,760;10,680;4,652,171;4,652,171
2022-12-27;10,720;0;56,023;599,019,400;10,620;10,720;10,620;4,643,508;4,643,508
2022-12-26;10,720;20;82,884;886,344,780;10,640;10,720;10,640;4,643,508;4,643,508
2022-12-23;10,700;20;81,603;870,376,820;10,680;10,700;10,600;4,634,844;4,634,844
2022-12-22;10,680;0;46,473;495,079,960;10,620;10,680;10,600;4,626,181;4,626,181
2022-12-21;10,680;0;31,478;335,345,720;10,680;10,680;10,620;4,626,181;4,626,181
2022-12-20;10,680;0;35,831;381,001,120;10,680;10,680;10,600;4,626,181;4,626,181
2022-12-19;10,680;20;55,149;586,901,120;10,660;10,680;10,580;4,626,181;4,626,181
2022-12-16;10,660;20;61,761;657,461,240;10,640;10,660;10,600;4,617,518;4,617,518
2022-12-15;10,680;20;53,367;570,133,860;10,720;10,740;10,640;4,626,181;4,626,181
2022-12-14;10,700;60;34,066;364,207,740;10,660;10,720;10,660;4,634,844;4,634,844
2022-12-13;10,640;40;44,701;474,369,320;10,600;10,640;10,580;4,608,855;4,608,855
2022-12-12;10,600;20;42,241;446,911,960;10,580;10,600;10,560;4,591,528;4,591,528
2022-12-09;10,580;20;41,413;436,708,260;10,560;10,580;10,520;4,582,865;4,582,865
2022-12-08;10,560;20;43,877;462,644,680;10,540;10,560;10,500;4,574,201;4,574,201
2022-12-07;10,540;20;65,780;692,003,580;10,520;10,540;10,480;4,565,538;4,565,538
2022-12-06;10,520;0;72,288;759,255,940;10,520;10,520;10,440;4,556,875;4,556,875
2022-12-05;10,520;0;37,786;396,935,980;10,520;10,520;10,480;4,556,875;4,556,875
2022-12-02;10,520;0;35,185;369,558,980;10,520;10,520;10,480;4,556,875;4,556,875
2022-12-01;10,520;0;35,357;371,553,540;10,520;10,540;10,500;4,556,875;4,556,875
2022-11-30;10,520;0;26,022;273,192,980;10,540;10,540;10,480;4,556,875;4,556,875
