Date;Closing Price;Change;Trading Volume (shr);Trading Value (KHR);Opening;High;Low;Market Cap. (Mil.KHR);Full Market Cap. (Mil.KHR)
2023-12-15;4,640;240;7,114;33,872,740;4,900;4,940;4,600;119,294;119,294
2023-12-14;4,880;20;10,253;49,991,420;4,900;5,200;4,700;125,465;125,465
2023-12-13;4,860;420;17,703;84,351,960;4,440;4,880;4,440;124,951;124,951
2023-12-12;4,440;280;6,064;26,240,720;4,160;4,440;4,160;114,152;114,152
2023-12-11;4,160;0;103,826;471,594,000;4,080;4,180;4,060;106,954;106,954
2023-12-08;4,160;100;185,566;786,742,660;4,100;4,220;4,060;106,954;106,954
2023-12-07;4,060;190;6,946;27,927,550;3,860;4,100;3,840;104,383;104,383
2023-12-06;3,870;0;2,794;10,524,640;3,860;3,870;3,520;99,498;99,498
2023-12-05;3,870;40;473;1,824,120;3,820;3,940;3,800;99,498;99,498
2023-12-04;3,830;160;173;654,110;3,670;3,870;3,670;98,469;98,469
2023-12-01;3,670;20;3,034;11,108,620;3,650;3,680;3,650;94,356;94,356
2023-11-30;3,650;100;458;1,670,710;3,750;3,750;3,400;93,842;93,842
2023-11-29;3,550;170;1,249;4,384,010;3,680;3,680;3,400;91,270;91,270
2023-11-24;3,380;280;2,623;8,585,790;3,100;3,380;2,810;86,900;86,900
2023-11-23;3,100;240;4,986;14,889,460;3,000;3,100;2,860;79,701;79,701
2023-11-22;2,860;240;7,435;20,806,210;2,840;2,870;2,620;73,531;73,531
2023-11-21;2,620;190;756;1,897,240;2,430;2,620;2,430;67,360;67,360
2023-11-20;2,430;30;3,993;9,692,080;2,260;2,430;2,260;62,475;62,475
2023-11-17;2,400;10;1,651;3,955,900;2,400;2,400;2,320;61,704;61,704
2023-11-16;2,390;0;11;26,290;2,390;2,390;2,390;61,447;61,447
2023-11-15;2,390;180;130;310,540;2,210;2,400;2,210;61,447;61,447
2023-11-14;2,210;170;32;71,480;2,380;2,380;2,210;56,819;56,819
2023-11-13;2,380;10;10;23,810;2,390;2,390;2,380;61,190;61,190
2023-11-10;2,390;20;86;204,310;2,390;2,390;2,350;61,447;61,447
2023-11-08;2,410;40;108;261,920;2,530;2,530;2,410;61,961;61,961
2023-11-07;2,370;20;10;23,480;2,390;2,390;2,220;60,933;60,933
2023-11-06;2,390;60;3;7,050;2,330;2,390;2,330;61,447;61,447
