Date;Closing Price;Change;Trading Volume (shr);Trading Value (KHR);Opening;High;Low;Market Cap. (Mil.KHR);Full Market Cap. (Mil.KHR)
2022-10-20;12,800;0;1,156;14,806,580;12,840;12,840;12,800;1,097,881;5,763,876
2022-10-19;12,800;20;999;12,786,740;12,820;12,820;12,780;1,097,881;5,763,876
2022-10-18;12,820;20;627;8,031,420;12,800;12,820;12,780;1,099,597;5,772,882
2022-10-17;12,800;60;695;8,901,340;12,860;12,860;12,800;1,097,881;5,763,876
2022-10-14;12,860;0;1,043;13,412,980;12,860;12,860;12,860;1,103,027;5,790,894
2022-10-13;12,860;0;771;9,886,680;12,860;12,860;12,800;1,103,027;5,790,894
2022-10-12;12,860;0;1,240;15,918,240;12,960;12,960;12,800;1,103,027;5,790,894
2022-10-11;12,860;0;201;2,590,660;12,860;12,900;12,860;1,103,027;5,790,894
2022-10-10;12,860;100;778;10,003,100;12,960;12,960;12,840;1,103,027;5,790,894
2022-10-07;12,960;160;202;2,606,380;12,980;12,980;12,820;1,111,605;5,835,925
2022-10-06;12,800;200;1,002;12,878,980;12,980;12,980;12,800;1,097,881;5,763,876
2022-10-05;13,000;0;988;12,687,580;13,000;13,000;12,700;1,115,036;5,853,937
2022-10-04;13,000;0;2,549;32,753,300;12,860;13,000;12,800;1,115,036;5,853,937
2022-10-03;13,000;0;528;6,864,120;13,000;13,040;13,000;1,115,036;5,853,937
2022-09-30;13,000;0;2,558;33,254,620;13,000;13,020;13,000;1,115,036;5,853,937
2022-09-29;13,000;40;77;1,000,340;13,000;13,000;12,960;1,115,036;5,853,937
2022-09-28;12,960;40;522;6,792,860;13,040;13,040;12,960;1,111,605;5,835,925
2022-09-27;13,000;20;1,427;18,460,400;13,020;13,020;12,860;1,115,036;5,853,937
2022-09-23;13,020;40;779;10,133,160;12,980;13,040;12,980;1,116,751;5,862,943
2022-09-22;12,980;160;716;9,237,080;13,000;13,000;12,840;1,113,320;5,844,931
2022-09-21;12,820;20;3,913;49,867,080;12,420;12,880;12,420;1,099,597;5,772,882
2022-09-20;12,800;400;11,853;147,179,220;13,200;13,220;11,880;1,097,881;5,763,876
2022-09-19;13,200;40;113;1,490,600;13,180;13,200;13,160;1,132,190;5,943,997
2022-09-16;13,160;20;1,176;15,509,560;13,180;13,220;13,160;1,128,759;5,925,985
2022-09-15;13,180;60;930;12,250,300;13,240;13,240;13,120;1,130,475;5,934,991
2022-09-14;13,240;20;177;2,342,060;13,240;13,240;13,180;1,135,621;5,962,009
2022-09-13;13,220;20;1,345;17,711,780;13,220;13,220;13,100;1,133,905;5,953,003
2022-09-12;13,240;20;151;1,997,320;13,260;13,260;13,200;1,135,621;5,962,009
2022-09-09;13,260;20;467;6,187,520;13,260;13,260;13,240;1,137,336;5,971,015
2022-09-08;13,240;0;207;2,742,800;13,280;13,280;13,240;1,135,621;5,962,009
2022-09-07;13,240;40;91;1,206,020;13,280;13,280;13,240;1,135,621;5,962,009
2022-09-06;13,280;120;1,431;18,974,520;13,260;13,300;13,160;1,139,052;5,980,022
2022-09-05;13,160;100;1,699;22,375,140;13,260;13,260;13,160;1,128,759;5,925,985
2022-09-02;13,260;0;1,805;23,748,460;13,300;13,300;13,060;1,137,336;5,971,015
2022-09-01;13,260;20;3,459;45,985,020;13,380;13,380;13,220;1,137,336;5,971,015
2022-08-31;13,280;0;3,232;42,923,560;13,280;13,300;13,260;1,139,052;5,980,022
2022-08-30;13,280;100;4,268;56,157,720;13,180;13,280;13,040;1,139,052;5,980,022
2022-08-29;13,180;0;2,703;35,709,240;13,180;13,280;13,180;1,130,475;5,934,991
2022-08-26;13,180;20;1,836;24,279,020;13,260;13,380;13,180;1,130,475;5,934,991
2022-08-25;13,200;60;614;8,112,160;13,260;13,300;13,200;1,132,190;5,943,997
2022-08-24;13,260;0;744;9,843,380;13,320;13,320;13,120;1,137,336;5,971,015
2022-08-23;13,260;40;958;12,716,340;13,300;13,300;13,260;1,137,336;5,971,015
2022-08-22;13,300;0;109;1,449,300;13,300;13,300;13,260;1,140,767;5,989,028
2022-08-19;13,300;80;734;9,701,940;13,300;13,300;13,180;1,140,767;5,989,028
2022-08-18;13,220;60;1,530;20,216,880;13,280;13,340;13,200;1,133,905;5,953,003
2022-08-17;13,280;20;1,242;16,485,260;13,320;13,340;13,260;1,139,052;5,980,022
2022-08-16;13,300;120;7,047;92,883,400;13,400;13,400;13,040;1,140,767;5,989,028
